status Javgctr Fbare0 Fbare1 Javgbtm i Fshear1 Fshear2 Fbarevol1 Javgtop Fshear0 r Fbarevol2 Fp0 Fbarevol0 Fp2 Fp1 z Fbare2
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int32'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121
1 -5.30949916653 27.5887455489 0.0 -5.31061604728 0 0.0 -0.00506322360512 0.0 -5.31067068506 -0.00475102979814 0.0 0.0138839709443 -3.95185099609 149.829364289 -0.00297788922171 0.0 -12.0 0.00405091343814
1 -2.4471481971 27.8649292562 0.0 -2.4451336439 1 0.0 -0.00271623575718 0.0 -2.44507061513 -0.00506809923461 0.0 0.00516582756818 -3.95285197369 149.832988432 -0.00276069917196 0.0 -11.8 -0.0123649686942
1 -0.287960719684 27.8166258824 0.0 -0.289082092614 2 0.0 -0.000881321312417 0.0 -0.288975459974 -0.00510763570031 0.0 0.00751959865555 -3.95618285039 149.836799188 -0.000347875677724 0.0 -11.6 0.00659113741197
1 1.43680863851 27.6695152474 0.0 1.43557476045 3 0.0 0.000602771033997 0.0 1.43559151611 -0.0052281723826 0.0 -0.00361592086101 -3.95900299712 149.834960035 -0.00198502024359 0.0 -11.4 -0.00863547528825
0 0.0 0.0 0.0 0.0 4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -11.2 0.0
0 0.0 0.0 0.0 0.0 5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -11.0 0.0
0 0.0 0.0 0.0 0.0 6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -10.8 0.0
0 0.0 0.0 0.0 0.0 7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -10.6 0.0
0 0.0 0.0 0.0 0.0 8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -10.4 0.0
0 0.0 0.0 0.0 0.0 9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -10.2 0.0
0 0.0 0.0 0.0 0.0 10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -10.0 0.0
0 0.0 0.0 0.0 0.0 11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -9.8 0.0
0 0.0 0.0 0.0 0.0 12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -9.6 0.0
0 0.0 0.0 0.0 0.0 13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -9.4 0.0
0 0.0 0.0 0.0 0.0 14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -9.2 0.0
0 0.0 0.0 0.0 0.0 15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -9.0 0.0
0 0.0 0.0 0.0 0.0 16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -8.8 0.0
0 0.0 0.0 0.0 0.0 17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -8.6 0.0
0 0.0 0.0 0.0 0.0 18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -8.4 0.0
0 0.0 0.0 0.0 0.0 19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -8.2 0.0
0 0.0 0.0 0.0 0.0 20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -8.0 0.0
0 0.0 0.0 0.0 0.0 21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -7.8 0.0
0 0.0 0.0 0.0 0.0 22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -7.6 0.0
0 0.0 0.0 0.0 0.0 23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -7.4 0.0
0 0.0 0.0 0.0 0.0 24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -7.2 0.0
0 0.0 0.0 0.0 0.0 25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -7.0 0.0
0 0.0 0.0 0.0 0.0 26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -6.8 0.0
0 0.0 0.0 0.0 0.0 27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -6.6 0.0
0 0.0 0.0 0.0 0.0 28 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -6.4 0.0
0 0.0 0.0 0.0 0.0 29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -6.2 0.0
0 0.0 0.0 0.0 0.0 30 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -6.0 0.0
0 0.0 0.0 0.0 0.0 31 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.8 0.0
0 0.0 0.0 0.0 0.0 32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.6 0.0
0 0.0 0.0 0.0 0.0 33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.4 0.0
0 0.0 0.0 0.0 0.0 34 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.2 0.0
0 0.0 0.0 0.0 0.0 35 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.0 0.0
0 0.0 0.0 0.0 0.0 36 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.8 0.0
0 0.0 0.0 0.0 0.0 37 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.6 0.0
0 0.0 0.0 0.0 0.0 38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.4 0.0
0 0.0 0.0 0.0 0.0 39 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.2 0.0
0 0.0 0.0 0.0 0.0 40 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.0 0.0
0 0.0 0.0 0.0 0.0 41 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -3.8 0.0
0 0.0 0.0 0.0 0.0 42 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -3.6 0.0
0 0.0 0.0 0.0 0.0 43 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -3.4 0.0
0 0.0 0.0 0.0 0.0 44 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -3.2 0.0
0 0.0 0.0 0.0 0.0 45 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -3.0 0.0
0 0.0 0.0 0.0 0.0 46 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.8 0.0
0 0.0 0.0 0.0 0.0 47 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.6 0.0
0 0.0 0.0 0.0 0.0 48 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.4 0.0
